               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.067275,             0.26116,            0.014538,             0.22869,             0.57299,              0.2294,            0.090546,             0.07393,             0.28821,            0.025815,            0.006595,            0.006595,            0.023595
                  84,            0.065776,             0.25995,              0.0136,             0.21995,             0.67122,             0.31147,             0.12963,            0.071194,             0.34626,            0.017345,           0.0066536,           0.0066536,            0.022654
                  85,            0.064364,             0.23703,            0.013209,             0.26554,             0.54469,             0.24788,            0.086279,            0.075126,             0.26278,            0.025885,           0.0067118,           0.0067118,            0.021712
                  86,            0.075061,             0.30518,            0.013096,              0.2072,              0.5689,             0.32489,             0.13648,            0.069965,             0.46427,            0.025943,           0.0067695,           0.0067695,            0.020769
                  87,            0.064957,             0.33415,            0.013736,             0.25384,             0.46618,             0.24991,             0.09761,            0.076138,             0.27847,            0.028916,           0.0068267,           0.0068267,            0.019827
                  88,            0.074867,             0.33163,            0.013817,             0.16158,             0.49268,             0.22789,            0.084904,            0.075497,             0.40546,            0.030041,           0.0068834,           0.0068834,            0.018883
                  89,            0.069797,             0.30728,            0.014443,             0.20921,             0.55394,             0.32086,             0.13363,            0.071195,             0.49979,            0.026788,           0.0069396,           0.0069396,             0.01794
                  90,            0.066841,             0.29306,            0.014373,             0.21558,             0.67366,             0.26821,              0.1053,            0.073833,             0.28094,            0.019481,           0.0069953,           0.0069953,            0.016995
                  91,            0.067934,             0.26834,            0.013773,             0.24799,             0.70075,             0.40079,             0.16766,            0.073789,             0.32032,            0.015901,           0.0070505,           0.0070505,             0.01605
                  92,            0.066862,             0.23883,            0.012958,             0.44095,             0.49534,              0.4186,             0.18073,            0.071602,               0.282,            0.012792,           0.0071052,           0.0071052,            0.015105
                  93,            0.066594,             0.24572,            0.012748,             0.36482,             0.47318,             0.31159,             0.10652,            0.072719,             0.28383,            0.011478,           0.0071594,           0.0071594,            0.014159
                  94,            0.066442,             0.26695,            0.013031,              0.3903,             0.51838,             0.40475,             0.15392,             0.07402,             0.30088,            0.011725,           0.0072131,           0.0072131,            0.013213
                  95,            0.069604,             0.25383,            0.012805,             0.18647,             0.64528,             0.26694,             0.11422,            0.074067,             0.42044,            0.019147,           0.0072663,           0.0072663,            0.012266
                  96,             0.07244,             0.26863,            0.013337,             0.27891,             0.67645,             0.49529,             0.21334,            0.070535,             0.33318,            0.013702,            0.007319,            0.007319,            0.011319
                  97,            0.065713,             0.24095,            0.013044,             0.19126,             0.64264,             0.30003,             0.15213,            0.078748,             0.26107,            0.014307,           0.0073713,           0.0073713,            0.010371
                  98,            0.066374,             0.28286,            0.012711,              0.2695,             0.67989,              0.4536,             0.17872,            0.068995,             0.31228,            0.018582,            0.007423,            0.007423,            0.009423
                  99,            0.062972,             0.21475,            0.012701,             0.34065,             0.53514,             0.38154,             0.16466,            0.075816,             0.26212,            0.015201,           0.0074743,           0.0074743,           0.0084743
                 100,            0.071289,              0.2562,            0.012809,             0.38338,             0.59704,             0.43886,             0.17703,            0.068156,             0.34872,            0.013453,            0.007525,            0.007525,            0.007525
                 101,            0.065552,             0.24659,            0.012349,             0.21777,             0.55852,             0.28581,             0.13004,            0.077908,             0.37758,            0.015212,            0.007525,            0.007525,            0.007525
                 102,              0.0692,             0.27083,            0.012568,             0.32289,             0.64218,             0.43081,             0.17706,            0.071809,             0.34355,            0.020188,           0.0075003,           0.0075003,           0.0075003
                 103,            0.065183,             0.22558,            0.011331,             0.29903,             0.50531,             0.35726,             0.18958,            0.073645,             0.28978,            0.020194,           0.0074755,           0.0074755,           0.0074755
                 104,            0.064153,             0.27366,              0.0121,             0.33649,              0.6533,             0.44068,             0.18581,            0.070734,             0.39208,             0.01723,           0.0074507,           0.0074507,           0.0074507
                 105,            0.063078,             0.24522,            0.010926,             0.58279,             0.49549,             0.52783,             0.28286,            0.064171,             0.23169,            0.015775,            0.007426,            0.007426,            0.007426
                 106,            0.066262,             0.30496,            0.011961,             0.34311,             0.49072,             0.33584,             0.13544,            0.072112,             0.45577,             0.01698,           0.0074013,           0.0074013,           0.0074013
                 107,             0.06317,             0.27378,            0.011633,             0.40028,             0.55078,              0.3867,             0.14513,            0.068961,             0.30436,            0.019777,           0.0073765,           0.0073765,           0.0073765
                 108,            0.070747,             0.29359,            0.012186,             0.22102,             0.62295,             0.33417,             0.17785,            0.066057,             0.34377,            0.035153,           0.0073517,           0.0073517,           0.0073517
                 109,            0.062489,              0.2394,            0.011634,             0.18532,             0.60581,             0.26974,             0.11328,            0.064756,             0.34224,            0.041967,            0.007327,            0.007327,            0.007327
                 110,             0.05971,             0.23687,            0.011031,              0.1768,             0.54773,             0.17942,            0.093545,            0.066704,             0.34225,            0.039759,           0.0073023,           0.0073023,           0.0073023
                 111,            0.063285,             0.27022,             0.01069,              0.1905,             0.58543,              0.2245,            0.082082,            0.066448,             0.32794,            0.042788,           0.0072775,           0.0072775,           0.0072775
                 112,            0.064224,             0.29441,            0.011941,               0.272,             0.54174,             0.27422,             0.12359,            0.068438,             0.33484,            0.031462,           0.0072527,           0.0072527,           0.0072527
                 113,            0.062968,             0.30016,            0.011373,             0.28322,             0.60001,             0.33047,             0.14394,            0.065038,             0.30211,            0.035485,            0.007228,            0.007228,            0.007228
                 114,            0.060527,              0.2691,            0.010435,              0.2833,             0.64725,              0.3676,             0.15321,            0.062813,             0.29802,            0.035574,           0.0072033,           0.0072033,           0.0072033
                 115,            0.058457,             0.24638,            0.011406,              0.2354,             0.60508,             0.30527,             0.13674,            0.067931,             0.28022,            0.036854,           0.0071785,           0.0071785,           0.0071785
                 116,            0.060141,             0.23805,            0.011043,             0.24469,              0.6169,             0.33134,             0.13611,            0.062792,             0.27513,            0.039195,           0.0071538,           0.0071538,           0.0071538
                 117,            0.060251,             0.26114,            0.011369,             0.26712,             0.65427,             0.34906,             0.17038,             0.06657,             0.27665,            0.033324,            0.007129,            0.007129,            0.007129
                 118,             0.06342,             0.24676,            0.010215,             0.30922,             0.64738,             0.40169,             0.14834,            0.068302,               0.268,            0.029578,           0.0071042,           0.0071042,           0.0071042
                 119,            0.064172,             0.22969,            0.010125,             0.23491,             0.66906,             0.30938,             0.14118,            0.061805,             0.25089,            0.033973,           0.0070795,           0.0070795,           0.0070795
                 120,            0.059024,              0.2559,            0.009952,             0.30898,             0.62949,             0.39212,             0.18192,            0.062471,             0.29319,            0.029199,           0.0070547,           0.0070547,           0.0070547
                 121,            0.057784,             0.22255,           0.0098085,              0.2843,             0.54712,              0.3732,             0.16284,             0.06681,             0.26378,            0.020914,             0.00703,             0.00703,             0.00703
                 122,            0.061903,             0.21449,            0.010238,             0.54882,             0.58793,             0.59513,             0.29646,            0.063529,             0.22728,            0.016797,           0.0070053,           0.0070053,           0.0070053
                 123,             0.06317,             0.24122,            0.010122,             0.41219,             0.60846,             0.50867,             0.27087,            0.061436,             0.24401,            0.016279,           0.0069805,           0.0069805,           0.0069805
                 124,            0.056699,             0.25093,           0.0097166,             0.39994,             0.68474,             0.53472,             0.24849,            0.058635,             0.28529,             0.02779,           0.0069558,           0.0069558,           0.0069558
                 125,            0.059572,             0.24421,           0.0099427,             0.30551,             0.60563,              0.3455,             0.18963,            0.061978,             0.27989,            0.031071,            0.006931,            0.006931,            0.006931
                 126,            0.057066,             0.24532,           0.0091277,             0.40551,             0.65361,              0.5216,             0.17951,            0.064933,             0.29569,            0.027886,           0.0069063,           0.0069063,           0.0069063
                 127,             0.06396,             0.25752,           0.0094155,             0.42195,             0.66548,             0.56226,             0.31124,            0.058506,             0.23481,            0.022328,           0.0068815,           0.0068815,           0.0068815
                 128,            0.057316,             0.23709,           0.0094578,             0.42099,             0.60363,             0.48818,             0.24506,            0.065367,             0.28338,            0.016886,           0.0068568,           0.0068568,           0.0068568
                 129,            0.056459,             0.21703,           0.0093185,             0.46229,             0.54226,             0.50505,             0.23622,            0.063371,             0.26467,            0.015592,            0.006832,            0.006832,            0.006832
                 130,            0.052049,             0.20491,           0.0083093,              0.4979,             0.52708,             0.49239,             0.22987,            0.066087,              0.2486,            0.016786,           0.0068073,           0.0068073,           0.0068073
                 131,            0.065135,              0.2597,           0.0098027,             0.40105,             0.59138,              0.4697,             0.21966,            0.060989,             0.29907,            0.022704,           0.0067825,           0.0067825,           0.0067825
                 132,            0.055146,             0.24322,           0.0086054,             0.40782,             0.55554,             0.42885,             0.22162,            0.061092,             0.25333,            0.022216,           0.0067577,           0.0067577,           0.0067577
                 133,            0.058152,             0.21277,           0.0095473,             0.36309,             0.56694,              0.4331,             0.20947,               0.064,             0.24046,            0.018548,            0.006733,            0.006733,            0.006733
                 134,            0.054375,             0.21703,           0.0082048,             0.50746,              0.4956,             0.50263,             0.27849,            0.062121,             0.23261,            0.017517,           0.0067082,           0.0067082,           0.0067082
                 135,            0.058551,             0.24439,           0.0089658,             0.45443,             0.51113,              0.4921,             0.22117,            0.065396,             0.25951,            0.014434,           0.0066835,           0.0066835,           0.0066835
                 136,            0.059807,             0.25146,           0.0094014,              0.6464,             0.52121,             0.60218,             0.33575,            0.058722,             0.22073,            0.017112,           0.0066587,           0.0066587,           0.0066587
                 137,            0.054557,             0.24191,           0.0084904,             0.42908,             0.51443,             0.47185,              0.2228,            0.063823,             0.25136,            0.014839,            0.006634,            0.006634,            0.006634
                 138,            0.058337,             0.23863,           0.0094429,             0.48467,              0.4993,             0.49125,             0.28211,            0.063319,               0.248,            0.014906,           0.0066092,           0.0066092,           0.0066092
                 139,            0.058822,             0.24242,           0.0087592,              0.5069,             0.53349,             0.54749,             0.29508,            0.063586,             0.25006,            0.014903,           0.0065845,           0.0065845,           0.0065845
                 140,            0.057551,              0.2457,           0.0091958,             0.51688,             0.46347,                0.49,             0.28351,            0.062322,             0.24871,            0.019764,           0.0065598,           0.0065598,           0.0065598
                 141,            0.057848,              0.2508,           0.0091758,              0.5713,             0.48437,             0.53778,             0.28978,            0.062781,             0.25455,             0.01648,            0.006535,            0.006535,            0.006535
                 142,            0.052124,             0.21738,           0.0086184,             0.51751,             0.52494,             0.53272,             0.30653,            0.061258,             0.23765,             0.01552,           0.0065102,           0.0065102,           0.0065102
                 143,            0.052005,             0.18005,           0.0082242,             0.53809,             0.51797,             0.51015,             0.27264,            0.061236,             0.23379,            0.014203,           0.0064855,           0.0064855,           0.0064855
                 144,            0.053179,             0.22111,           0.0084254,             0.63558,             0.58433,             0.63159,             0.35934,            0.058215,             0.24187,            0.011289,           0.0064608,           0.0064608,           0.0064608
                 145,            0.057119,             0.24356,           0.0087304,             0.50325,             0.68138,             0.56448,             0.31192,            0.061182,             0.26444,            0.011288,            0.006436,            0.006436,            0.006436
                 146,            0.058528,             0.21884,           0.0079345,             0.59468,             0.60748,             0.64268,             0.35732,             0.05766,             0.23994,            0.011314,           0.0064112,           0.0064112,           0.0064112
                 147,            0.058495,             0.26451,           0.0089439,             0.60343,             0.66014,             0.67514,             0.39348,            0.056948,             0.25771,            0.011901,           0.0063865,           0.0063865,           0.0063865
                 148,            0.053875,             0.20798,           0.0081295,             0.51309,             0.54118,             0.55472,             0.31255,            0.058523,               0.242,            0.012449,           0.0063618,           0.0063618,           0.0063618
                 149,            0.055895,              0.2126,           0.0078997,              0.5477,             0.63771,             0.62346,             0.33382,            0.057442,             0.23017,            0.013135,            0.006337,            0.006337,            0.006337
                 150,            0.056788,             0.21886,           0.0086677,             0.52126,             0.63519,             0.58633,             0.35418,            0.056515,             0.25397,            0.015165,           0.0063122,           0.0063122,           0.0063122
                 151,            0.053695,             0.22866,           0.0085845,             0.45537,             0.63311,             0.50001,             0.28107,            0.059469,             0.27075,            0.020217,           0.0062875,           0.0062875,           0.0062875
                 152,            0.055299,              0.2219,           0.0082955,             0.50103,             0.59454,              0.4793,             0.27763,            0.058503,             0.27253,            0.018323,           0.0062628,           0.0062628,           0.0062628
                 153,            0.057661,             0.23336,           0.0083575,             0.44652,             0.61294,              0.4858,             0.27141,            0.057102,             0.25225,            0.017571,            0.006238,            0.006238,            0.006238
                 154,            0.054348,             0.22588,           0.0080803,             0.52426,             0.63984,             0.58368,             0.35745,            0.054556,             0.24382,            0.014987,           0.0062132,           0.0062132,           0.0062132
                 155,            0.054446,             0.23135,           0.0078863,             0.45529,             0.65574,             0.54583,             0.32755,            0.055309,             0.24577,            0.016478,           0.0061885,           0.0061885,           0.0061885
                 156,            0.054884,             0.21407,           0.0078256,              0.4356,             0.65832,             0.54246,             0.31076,            0.059328,             0.25582,            0.015041,           0.0061637,           0.0061637,           0.0061637
